
="",="(1)"
="",="overallcountpc"

="treat_m4",="0.00000229"
="",="(0.04)"

="treat_m3",="-0.0000170"
="",="(-0.45)"

="treat_m2",="-0.000685***"
="",="(-6.39)"

="treat_m1",="-0.00195***"
="",="(-7.01)"

="treat_p0",="0.00212***"
="",="(7.61)"

="treat_p1",="0.000268"
="",="(1.80)"

="treat_p2",="0.000190"
="",="(1.56)"

="treat_p3",="0.000319*"
="",="(2.56)"

="treat_p4",="-0.00000896"
="",="(-0.11)"

="L4treat_m4",="-0.0000174"
="",="(-0.24)"

="L4treat_m3",="-0.0000858"
="",="(-1.54)"

="L4treat_m2",="-0.000513***"
="",="(-3.66)"

="L4treat_m1",="-0.00186***"
="",="(-5.00)"

="L4treat_p0",="0.00164***"
="",="(5.71)"

="L4treat_p1",="0.000307"
="",="(1.35)"

="L4treat_p2",="0.0000624"
="",="(0.36)"

="L4treat_p3",="0.000231*"
="",="(2.22)"

="L4treat_p4",="0.000116"
="",="(1.08)"

="L8treat_m4",="0.00000276"
="",="(0.03)"

="L8treat_m3",="-0.000117**"
="",="(-2.75)"

="L8treat_m2",="-0.000521**"
="",="(-3.09)"

="L8treat_m1",="-0.00175***"
="",="(-5.10)"

="L8treat_p0",="0.00132***"
="",="(4.42)"

="L8treat_p1",="0.000363"
="",="(1.57)"

="L8treat_p2",="0.0000865"
="",="(0.43)"

="L8treat_p3",="0.000137"
="",="(0.87)"

="L8treat_p4",="-0.0000677"
="",="(-0.80)"

="L12treat_m4",="-0.0000347"
="",="(-0.49)"

="L12treat_m3",="-0.0000551"
="",="(-0.93)"

="L12treat_m2",="-0.000521**"
="",="(-3.33)"

="L12treat_m1",="-0.00175***"
="",="(-4.66)"

="L12treat_p0",="0.00147***"
="",="(4.06)"

="L12treat_p1",="-0.0000976"
="",="(-0.53)"

="L12treat_p2",="0.000176"
="",="(1.23)"

="L12treat_p3",="0.000274*"
="",="(2.52)"

="L12treat_p4",="0.000103"
="",="(1.07)"

="L16treat_m4",="-0.0000401"
="",="(-0.72)"

="L16treat_m3",="-0.0000614"
="",="(-0.93)"

="L16treat_m2",="-0.000370*"
="",="(-2.58)"

="L16treat_m1",="-0.000958***"
="",="(-4.14)"

="L16treat_p0",="0.000990***"
="",="(5.22)"

="L16treat_p1",="-0.0000137"
="",="(-0.11)"

="L16treat_p2",="0.0000480"
="",="(0.26)"

="L16treat_p3",="0.000256"
="",="(1.75)"

="L16treat_p4",="-0.000162"
="",="(-1.40)"

="one",="0"
="",="(.)"

="N",="847314"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
