"REF_DATE","GEO","DGUID","Products and product groups","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2011-01","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","118.4","","","","1"
"2011-02","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","118.3","","","","1"
"2011-03","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","119.1","","","","1"
"2011-04","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","119.6","","","","1"
"2011-05","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","120.0","","","","1"
"2011-06","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","119.6","","","","1"
"2011-07","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","119.8","","","","1"
"2011-08","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","120.1","","","","1"
"2011-09","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","120.5","","","","1"
"2011-10","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","120.9","","","","1"
"2011-11","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","121.0","","","","1"
"2011-12","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","120.8","","","","1"
"2012-01","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","121.5","","","","1"
"2012-02","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","121.4","","","","1"
"2012-03","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","121.5","","","","1"
"2012-04","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","121.9","","","","1"
"2012-05","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","121.5","","","","1"
"2012-06","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","121.2","","","","1"
"2012-07","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","121.2","","","","1"
"2012-08","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","121.7","","","","1"
"2012-09","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","121.9","","","","1"
"2012-10","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","122.2","","","","1"
"2012-11","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","122.1","","","","1"
"2012-12","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","122.0","","","","1"
"2013-01","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","122.1","","","","1"
"2013-02","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","122.9","","","","1"
"2013-03","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","122.8","","","","1"
"2013-04","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","122.3","","","","1"
"2013-05","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","122.3","","","","1"
"2013-06","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","122.6","","","","1"
"2013-07","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","122.8","","","","1"
"2013-08","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","122.9","","","","1"
"2013-09","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","123.1","","","","1"
"2013-10","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","123.0","","","","1"
"2013-11","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","123.2","","","","1"
"2013-12","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","123.6","","","","1"
"2014-01","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","123.9","","","","1"
"2014-02","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","124.3","","","","1"
"2014-03","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","124.5","","","","1"
"2014-04","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","125.0","","","","1"
"2014-05","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","125.1","","","","1"
"2014-06","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","125.4","","","","1"
"2014-07","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","125.4","","","","1"
"2014-08","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","125.5","","","","1"
"2014-09","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","125.7","","","","1"
"2014-10","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","125.9","","","","1"
"2014-11","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","125.7","","","","1"
"2014-12","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","125.5","","","","1"
"2015-01","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","125.1","","","","1"
"2015-02","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","125.5","","","","1"
"2015-03","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","126.1","","","","1"
"2015-04","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","125.8","","","","1"
"2015-05","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","126.3","","","","1"
"2015-06","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","126.8","","","","1"
"2015-07","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","127.1","","","","1"
"2015-08","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","127.1","","","","1"
"2015-09","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","127.0","","","","1"
"2015-10","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","127.2","","","","1"
"2015-11","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","127.3","","","","1"
"2015-12","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","127.4","","","","1"
"2016-01","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","127.5","","","","1"
"2016-02","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","127.3","","","","1"
"2016-03","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","127.7","","","","1"
"2016-04","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","127.9","","","","1"
"2016-05","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","128.3","","","","1"
"2016-06","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","128.6","","","","1"
"2016-07","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","128.5","","","","1"
"2016-08","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","128.6","","","","1"
"2016-09","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","128.8","","","","1"
"2016-10","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","129.1","","","","1"
